Location, Size, Price, Mortgage (Monthly), , , Listing Link
66 Oakview Cir #101 Hollow  Bridgeport  CT,833 sqft,$220000,1445,,,https://www.trulia.com/p/ct/bridgeport/66-oakview-cir-101-bridgeport-ct-06604--2005418617
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/365-chamberlain-ave-bridgeport-ct-06606--2005434146
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/176-king-st-bridgeport-ct-06605--1061565214
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/150-harmony-st-bridgeport-ct-06606--2005428130
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/150-harmony-st-bridgeport-ct-06606--2005428130
74 Roger Williams Rd Bridgeport  CT,1 152 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/74-roger-williams-rd-bridgeport-ct-06610--2005451919
151 Leonard Dr North End  Bridgeport  CT,1 104 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/151-leonard-dr-bridgeport-ct-06606--2005428177
281 Lincoln Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 197 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/281-lincoln-ave-bridgeport-ct-06606--2005431915
64 Beachview Ave Black Rock  Bridgeport  CT,2 208 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/64-beachview-ave-bridgeport-ct-06605--2005424183
264 Lexington Ave Hollow  Bridgeport  CT,2 369 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/264-lexington-ave-bridgeport-ct-06604--1007127689
79 Seltsam Rd Resevoir  Bridgeport  CT,1 492 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/79-seltsam-rd-bridgeport-ct-06606--2005439279
60 Renwick Pl Brooklawn/ St. Vincent's  Bridgeport  CT,1 116 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/60-renwick-pl-bridgeport-ct-06604--2005418469
264 Lexington Ave Hollow  Bridgeport  CT,2 369 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/264-lexington-ave-bridgeport-ct-06604--1007127689
77 Shirley Dr Stratford  CT,1 224 sqft,$289900,1447,,,https://www.trulia.com/p/ct/stratford/77-shirley-dr-stratford-ct-06614--2005482996
365 Chamberlain Ave Resevoir  Bridgeport  CT,1 447 sqft,$290000,1447,,,https://www.trulia.com/p/ct/bridgeport/365-chamberlain-ave-bridgeport-ct-06606--2005434146
176 King St Black Rock  Bridgeport  CT,1 080 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/176-king-st-bridgeport-ct-06605--1061565214
150 Harmony St North End  Bridgeport  CT,1 312 sqft,$289900,1447,,,https://www.trulia.com/p/ct/bridgeport/150-harmony-st-bridgeport-ct-06606--2005428130
765 Birmingham St North End  Bridgeport  CT,1 094 sqft,$295000,1471,,,https://www.trulia.com/p/ct/bridgeport/765-birmingham-st-bridgeport-ct-06606--1064949075
51 Ameridge Dr #51 North End  Bridgeport  CT,1 268 sqft,$215000,1474,,,https://www.trulia.com/p/ct/bridgeport/51-ameridge-dr-51-bridgeport-ct-06606--2190887758
51 Ameridge Dr #51 North End  Bridgeport  CT,1 268 sqft,$215000,1474,,,https://www.trulia.com/p/ct/bridgeport/51-ameridge-dr-51-bridgeport-ct-06606--2190887758
51 Ameridge Dr #51 North End  Bridgeport  CT,1 268 sqft,$215000,1474,,,https://www.trulia.com/p/ct/bridgeport/51-ameridge-dr-51-bridgeport-ct-06606--2190887758
121 Denver Ave West Side/ West End  Bridgeport  CT,2 254 sqft,$297000,1481,,,https://www.trulia.com/p/ct/bridgeport/121-denver-ave-bridgeport-ct-06605--2005420360
485 Glendale Ave #1 North End  Bridgeport  CT,1 078 sqft,$215000,1487,,,https://www.trulia.com/p/ct/bridgeport/485-glendale-ave-1-bridgeport-ct-06606--2005436163
920 Platt St North End  Bridgeport  CT,1 352 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/920-platt-st-bridgeport-ct-06606--1045654709
24 McKinley Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 716 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/24-mckinley-ave-bridgeport-ct-06606--2005431092
2335 Madison Ave North End  Bridgeport  CT,1 360 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/2335-madison-ave-bridgeport-ct-06606--1062266077
119 Dewey St West Side/ West End  Bridgeport  CT,1 191 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/119-dewey-st-bridgeport-ct-06605--2005420292
57 Smith St East End  Bridgeport  CT,2 882 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/57-smith-st-bridgeport-ct-06607--2005442713
40 Lorraine St Brooklawn/ St. Vincent's  Bridgeport  CT,1 476 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/40-lorraine-st-bridgeport-ct-06604--1037113785
437 East Ave Mill Hill  Bridgeport  CT,1 512 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/437-east-ave-bridgeport-ct-06610--2005450729
57 Smith St East End  Bridgeport  CT,2 882 sqft,$299000,1490,,,https://www.trulia.com/p/ct/bridgeport/57-smith-st-bridgeport-ct-06607--2005442713
273 Hanover St West Side/ West End  Bridgeport  CT,2 920 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/273-hanover-st-bridgeport-ct-06605--2005422263
28 Jetland Pl Black Rock  Bridgeport  CT,811 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/28-jetland-pl-bridgeport-ct-06605--2005422383
141 Wordin Ave West Side/ West End  Bridgeport  CT,2 585 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/141-wordin-ave-bridgeport-ct-06605--2005420796
68 Dover St Mill Hill  Bridgeport  CT,2 539 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/68-dover-st-bridgeport-ct-06610--2005451679
28 Jetland Pl Black Rock  Bridgeport  CT,811 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/28-jetland-pl-bridgeport-ct-06605--2005422383
141 Wordin Ave West Side/ West End  Bridgeport  CT,2 585 sqft,$299900,1494,,,https://www.trulia.com/p/ct/bridgeport/141-wordin-ave-bridgeport-ct-06605--2005420796
266 Seaview Ave East End  Bridgeport  CT,3 497 sqft,$299999,1495,,,https://www.trulia.com/p/ct/bridgeport/266-seaview-ave-bridgeport-ct-06607--2005441957
266 Seaview Ave East End  Bridgeport  CT,3 497 sqft,$299999,1495,,,https://www.trulia.com/p/ct/bridgeport/266-seaview-ave-bridgeport-ct-06607--2005441957
266 Seaview Ave East End  Bridgeport  CT,3 497 sqft,$299999,1495,,,https://www.trulia.com/p/ct/bridgeport/266-seaview-ave-bridgeport-ct-06607--2005441957
3250 Fairfield Ave #229 Black Rock  Bridgeport  CT,1 145 sqft,$225900,1510,,,https://www.trulia.com/p/ct/bridgeport/3250-fairfield-ave-229-bridgeport-ct-06605--2005422704
21 Indian Field Rd North End  Bridgeport  CT,1 100 sqft,$304900,1518,,,https://www.trulia.com/p/ct/bridgeport/21-indian-field-rd-bridgeport-ct-06606--2005430404
66 Bankside St North End  Bridgeport  CT,1 416 sqft,$304999,1519,,,https://www.trulia.com/p/ct/bridgeport/66-bankside-st-bridgeport-ct-06606--2005438173
66 Bankside St North End  Bridgeport  CT,1 416 sqft,$304999,1519,,,https://www.trulia.com/p/ct/bridgeport/66-bankside-st-bridgeport-ct-06606--2005438173
3250 Fairfield Ave #134 Black Rock  Bridgeport  CT,1 145 sqft,$229000,1525,,,https://www.trulia.com/p/ct/bridgeport/3250-fairfield-ave-134-bridgeport-ct-06605--2005422674
38 Pearl Harbor Cir Mill Hill  Bridgeport  CT,1 924 sqft,$309000,1537,,,https://www.trulia.com/p/ct/bridgeport/38-pearl-harbor-cir-bridgeport-ct-06610--2005450402
752 Beechwood Ave West Side/ West End  Bridgeport  CT,1 718 sqft,$309000,1537,,,https://www.trulia.com/p/ct/bridgeport/752-beechwood-ave-bridgeport-ct-06605--2005424589
34 Seaver Cir North End  Bridgeport  CT,1 555 sqft,$309900,1542,,,https://www.trulia.com/p/ct/bridgeport/34-seaver-cir-bridgeport-ct-06606--2005433847
34 Seaver Cir North End  Bridgeport  CT,1 555 sqft,$309900,1542,,,https://www.trulia.com/p/ct/bridgeport/34-seaver-cir-bridgeport-ct-06606--2005433847
338 Pearl Harbor St Mill Hill  Bridgeport  CT,1 700 sqft,$310000,1543,,,https://www.trulia.com/p/ct/bridgeport/338-pearl-harbor-st-bridgeport-ct-06610--2005449983
246 Soundview Ave Resevoir  Bridgeport  CT,1 282 sqft,$315000,1566,,,https://www.trulia.com/p/ct/bridgeport/246-soundview-ave-bridgeport-ct-06606--1002904643
361 Gurdon St Brooklawn/ St. Vincent's  Bridgeport  CT,1 898 sqft,$315000,1566,,,https://www.trulia.com/p/ct/bridgeport/361-gurdon-st-bridgeport-ct-06606--2005434115
310 Douglas St Resevoir  Bridgeport  CT,1 512 sqft,$315000,1566,,,https://www.trulia.com/p/ct/bridgeport/310-douglas-st-bridgeport-ct-06606--2005432756
524 Beechmont Ave North End  Bridgeport  CT,1 104 sqft,$315000,1566,,,https://www.trulia.com/p/ct/bridgeport/524-beechmont-ave-bridgeport-ct-06606--2005436736
310 Douglas St Resevoir  Bridgeport  CT,1 512 sqft,$315000,1566,,,https://www.trulia.com/p/ct/bridgeport/310-douglas-st-bridgeport-ct-06606--2005432756
35 Hollywood Ave Resevoir  Bridgeport  CT,1 600 sqft,$319000,1585,,,https://www.trulia.com/p/ct/bridgeport/35-hollywood-ave-bridgeport-ct-06606--1063202192
84 Lorraine Ter Brooklawn/ St. Vincent's  Bridgeport  CT,1 802 sqft,$319000,1585,,,https://www.trulia.com/p/ct/bridgeport/84-lorraine-ter-bridgeport-ct-06604--2005419259
35 Hollywood Ave Resevoir  Bridgeport  CT,1 600 sqft,$319000,1585,,,https://www.trulia.com/p/ct/bridgeport/35-hollywood-ave-bridgeport-ct-06606--1063202192
5 Pierce Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 965 sqft,$319900,1589,,,https://www.trulia.com/p/ct/bridgeport/5-pierce-ave-bridgeport-ct-06604--2005418425
5 Pierce Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 965 sqft,$319900,1589,,,https://www.trulia.com/p/ct/bridgeport/5-pierce-ave-bridgeport-ct-06604--2005418425
638 Thorme St North End  Bridgeport  CT,1 768 sqft,$319900,1589,,,https://www.trulia.com/p/ct/bridgeport/638-thorme-st-bridgeport-ct-06606--1064551584
39 Woodmont Ave North End  Bridgeport  CT,1 488 sqft,$320000,1590,,,https://www.trulia.com/p/ct/bridgeport/39-woodmont-ave-bridgeport-ct-06606--2005434860
583 Vincellette St #583 North End  Bridgeport  CT,1 082 sqft,$250000,1604,,,https://www.trulia.com/p/ct/bridgeport/583-vincellette-st-583-bridgeport-ct-06606--2190891149
583 Vincellette St #583 North End  Bridgeport  CT,1 082 sqft,$250000,1604,,,https://www.trulia.com/p/ct/bridgeport/583-vincellette-st-583-bridgeport-ct-06606--2190891149
425 Seltsam Rd Resevoir  Bridgeport  CT,1 926 sqft,$324900,1613,,,https://www.trulia.com/p/ct/bridgeport/425-seltsam-rd-bridgeport-ct-06606--2005435310
425 Seltsam Rd Resevoir  Bridgeport  CT,1 926 sqft,$324900,1613,,,https://www.trulia.com/p/ct/bridgeport/425-seltsam-rd-bridgeport-ct-06606--2005435310
589 Beechwood Ave West Side/ West End  Bridgeport  CT,3 460 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/589-beechwood-ave-bridgeport-ct-06604--2005418367
1738 Stratford Ave East End  Bridgeport  CT,3 864 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/1738-stratford-ave-bridgeport-ct-06607--2005441448
465 Putnam St Bridgeport  CT,2 981 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/465-putnam-st-bridgeport-ct-06608--2005444975
197 Stillman St Bridgeport  CT,2 751 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/197-stillman-st-bridgeport-ct-06608--2005444037
96 6th St East End  Bridgeport  CT,5 506 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/96-6th-st-bridgeport-ct-06607--2005443230
179 4th St East End  Bridgeport  CT,3 580 sqft,$325000,1613,,,https://www.trulia.com/p/ct/bridgeport/179-4th-st-bridgeport-ct-06607--2005441483
425 Seltsam Rd Resevoir  Bridgeport  CT,1 926 sqft,$324900,1613,,,https://www.trulia.com/p/ct/bridgeport/425-seltsam-rd-bridgeport-ct-06606--2005435310
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1 410 sqft,$245000,1618,,,https://www.trulia.com/p/ct/bridgeport/2612-north-ave-d7-bridgeport-ct-06604--2005415929
2612 North Ave #D7 Brooklawn/ St. Vincent's  Bridgeport  CT,1 410 sqft,$245000,1618,,,https://www.trulia.com/p/ct/bridgeport/2612-north-ave-d7-bridgeport-ct-06604--2005415929
43 Burr Ct Black Rock  Bridgeport  CT,1 647 sqft,$329000,1632,,,https://www.trulia.com/p/ct/bridgeport/43-burr-ct-bridgeport-ct-06605--1005320368
69 Weber Ave Mill Hill  Bridgeport  CT,1 202 sqft,$329900,1636,,,https://www.trulia.com/p/ct/bridgeport/69-weber-ave-bridgeport-ct-06610--2005451715
69 Weber Ave Mill Hill  Bridgeport  CT,1 202 sqft,$329900,1636,,,https://www.trulia.com/p/ct/bridgeport/69-weber-ave-bridgeport-ct-06610--2005451715
1855 Chopsey Hill Rd North End  Bridgeport  CT,1 152 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/1855-chopsey-hill-rd-bridgeport-ct-06606--2005429299
278 Vincellette St North End  Bridgeport  CT,1 260 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/278-vincellette-st-bridgeport-ct-06606--2005431818
1051 Maplewood Ave West Side/ West End  Bridgeport  CT,2 986 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/1051-maplewood-ave-bridgeport-ct-06605--2005419898
1715 Old Town Rd North End  Bridgeport  CT,1 767 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/1715-old-town-rd-bridgeport-ct-06606--2005428920
168 Savoy St North End  Bridgeport  CT,2 385 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/168-savoy-st-bridgeport-ct-06606--1007128042
1715 Old Town Rd North End  Bridgeport  CT,1 767 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/1715-old-town-rd-bridgeport-ct-06606--2005428920
1855 Chopsey Hill Rd North End  Bridgeport  CT,1 152 sqft,$330000,1637,,,https://www.trulia.com/p/ct/bridgeport/1855-chopsey-hill-rd-bridgeport-ct-06606--2005429299
180 Pope St Fairfield  CT,1 075 sqft,$335000,1660,,,https://www.trulia.com/p/ct/fairfield/180-pope-st-fairfield-ct-06825--2005686679
58 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 526 sqft,$334900,1660,,,https://www.trulia.com/p/ct/bridgeport/58-fairview-ave-bridgeport-ct-06606--2005437413
295 Pequonnock St Hollow  Bridgeport  CT,2 868 sqft,$335500,1663,,,https://www.trulia.com/p/ct/bridgeport/295-pequonnock-st-bridgeport-ct-06604--2122592426
295 Pequonnock St Hollow  Bridgeport  CT,2 868 sqft,$335500,1663,,,https://www.trulia.com/p/ct/bridgeport/295-pequonnock-st-bridgeport-ct-06604--2122592426
157 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 168 sqft,$339000,1680,,,https://www.trulia.com/p/ct/bridgeport/157-garfield-ave-bridgeport-ct-06606--2005428384
157 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 168 sqft,$339000,1680,,,https://www.trulia.com/p/ct/bridgeport/157-garfield-ave-bridgeport-ct-06606--2005428384
1343 Fairfield Ave West Side/ West End  Bridgeport  CT,4 167 sqft,$340000,1685,,,https://www.trulia.com/p/ct/bridgeport/1343-fairfield-ave-bridgeport-ct-06605--2005420634
210 Stratfield Pl North End  Bridgeport  CT,1 605 sqft,$340000,1685,,,https://www.trulia.com/p/ct/bridgeport/210-stratfield-pl-bridgeport-ct-06606--2005430156
210 Stratfield Pl North End  Bridgeport  CT,1 605 sqft,$340000,1685,,,https://www.trulia.com/p/ct/bridgeport/210-stratfield-pl-bridgeport-ct-06606--2005430156
85 Albemarle St North End  Bridgeport  CT,2 286 sqft,$345000,1708,,,https://www.trulia.com/p/ct/bridgeport/85-albemarle-st-bridgeport-ct-06606--2005439709
95 Edgewood St Stratford  CT,2 407 sqft,$345000,1708,,,https://www.trulia.com/p/ct/stratford/95-edgewood-st-stratford-ct-06615--2005492168
85 Albemarle St North End  Bridgeport  CT,2 286 sqft,$345000,1708,,,https://www.trulia.com/p/ct/bridgeport/85-albemarle-st-bridgeport-ct-06606--2005439709
162 Orchard St Bridgeport  CT,3 123 sqft,$349000,1727,,,https://www.trulia.com/p/ct/bridgeport/162-orchard-st-bridgeport-ct-06608--2005443932
162 Orchard St Bridgeport  CT,3 123 sqft,$349000,1727,,,https://www.trulia.com/p/ct/bridgeport/162-orchard-st-bridgeport-ct-06608--2005443932
53 Fremont St West Side/ West End  Bridgeport  CT,3 749 sqft,$349000,1727,,,https://www.trulia.com/p/ct/bridgeport/53-fremont-st-bridgeport-ct-06605--2005423810
1162 Noble Ave Bridgeport  CT,2 625 sqft,$349000,1727,,,https://www.trulia.com/p/ct/bridgeport/1162-noble-ave-bridgeport-ct-06608--2005443524
53 Fremont St West Side/ West End  Bridgeport  CT,3 749 sqft,$349000,1727,,,https://www.trulia.com/p/ct/bridgeport/53-fremont-st-bridgeport-ct-06605--2005423810
78 Manhattan Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 337 sqft,$349500,1729,,,https://www.trulia.com/p/ct/bridgeport/78-manhattan-ave-bridgeport-ct-06606--1003139516
35 Jillijam Pl North End  Bridgeport  CT,1 532 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/35-jillijam-pl-bridgeport-ct-06606--2005434020
495 Silver St Bridgeport  CT,1 404 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/495-silver-st-bridgeport-ct-06610--2005450968
75 Pavlik Pl Bridgeport  CT,1 196 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/75-pavlik-pl-bridgeport-ct-06610--2005451964
908 Pearl Harbor St Mill Hill  Bridgeport  CT,1 700 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/908-pearl-harbor-st-bridgeport-ct-06610--2005452334
Address Not Disclosed Bridgeport  CT,2 328 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/address-not-disclosed-bridgeport-ct-06610--2005450852
584 Kossuth St Bridgeport  CT,2 716 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/584-kossuth-st-bridgeport-ct-06608--2005445318
140 Edna Ave Bridgeport  CT,2 554 sqft,$350000,1732,,,https://www.trulia.com/p/ct/bridgeport/140-edna-ave-bridgeport-ct-06610--2005447341
535 Park St Bridgeport  CT,2 938 sqft,$350000,1732,,,https://www.trulia.com/p/ct/bridgeport/535-park-st-bridgeport-ct-06608--1009908643
708 Noble Ave Bridgeport  CT,2 840 sqft,$350000,1732,,,https://www.trulia.com/p/ct/bridgeport/708-noble-ave-bridgeport-ct-06608--1002671396
117 Lewis St West Side/ West End  Bridgeport  CT,784 sqft,$350000,1732,,,https://www.trulia.com/p/ct/bridgeport/117-lewis-st-bridgeport-ct-06605--2005420254
140 Edna Ave Bridgeport  CT,2 554 sqft,$350000,1732,,,https://www.trulia.com/p/ct/bridgeport/140-edna-ave-bridgeport-ct-06610--2005447341
247 Olive St Hollow  Bridgeport  CT,2 528 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/247-olive-st-bridgeport-ct-06604--1062386963
2056 Main St Hollow  Bridgeport  CT,3 391 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/2056-main-st-bridgeport-ct-06604--1061953586
247 Olive St Hollow  Bridgeport  CT,2 528 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/247-olive-st-bridgeport-ct-06604--1062386963
35 Jillijam Pl North End  Bridgeport  CT,1 532 sqft,$349900,1732,,,https://www.trulia.com/p/ct/bridgeport/35-jillijam-pl-bridgeport-ct-06606--2005434020
310 Castle Dr Stratford  CT,1 379 sqft,$355000,1756,,,https://www.trulia.com/p/ct/stratford/310-castle-dr-stratford-ct-06614--2005477075
15 Briarfield Dr Stratford  CT,1 549 sqft,$358500,1772,,,https://www.trulia.com/p/ct/stratford/15-briarfield-dr-stratford-ct-06614--2005472866
63 Laurel Ave West Side/ West End  Bridgeport  CT,3 996 sqft,$359900,1779,,,https://www.trulia.com/p/ct/bridgeport/63-laurel-ave-bridgeport-ct-06605--2005424163
54 Asylum St Bridgeport  CT,1 792 sqft,$360000,1779,,,https://www.trulia.com/p/ct/bridgeport/54-asylum-st-bridgeport-ct-06610--1029069370
44 Wade St Brooklawn/ St. Vincent's  Bridgeport  CT,1 992 sqft,$360000,1779,,,https://www.trulia.com/p/ct/bridgeport/44-wade-st-bridgeport-ct-06604--2005417823
53 Laurel Ave West Side/ West End  Bridgeport  CT,3 924 sqft,$359900,1779,,,https://www.trulia.com/p/ct/bridgeport/53-laurel-ave-bridgeport-ct-06605--2005423812
1421 Kossuth St Bridgeport  CT,2 783 sqft,$359900,1779,,,https://www.trulia.com/p/ct/bridgeport/1421-kossuth-st-bridgeport-ct-06608--1061067344
93 Oxford St North End  Bridgeport  CT,1 836 sqft,$359888,1779,,,https://www.trulia.com/p/ct/bridgeport/93-oxford-st-bridgeport-ct-06606--1065384372
550 Amsterdam Ave North End  Bridgeport  CT,1 492 sqft,$364000,1798,,,https://www.trulia.com/p/ct/bridgeport/550-amsterdam-ave-bridgeport-ct-06606--2005437011
29 Jetland Pl Black Rock  Bridgeport  CT,1 584 sqft,$365000,1803,,,https://www.trulia.com/p/ct/bridgeport/29-jetland-pl-bridgeport-ct-06605--2005422458
39 Moffitt St Resevoir  Bridgeport  CT,2 624 sqft,$365000,1803,,,https://www.trulia.com/p/ct/bridgeport/39-moffitt-st-bridgeport-ct-06606--2005434840
585 Woodside Ave North End  Bridgeport  CT,1 787 sqft,$365000,1803,,,https://www.trulia.com/p/ct/bridgeport/585-woodside-ave-bridgeport-ct-06606--1007167559
585 Woodside Ave North End  Bridgeport  CT,1 787 sqft,$365000,1803,,,https://www.trulia.com/p/ct/bridgeport/585-woodside-ave-bridgeport-ct-06606--1007167559
365 Platt St Resevoir  Bridgeport  CT,1 728 sqft,$369000,1822,,,https://www.trulia.com/p/ct/bridgeport/365-platt-st-bridgeport-ct-06606--2005434166
365 Platt St Resevoir  Bridgeport  CT,1 728 sqft,$369000,1822,,,https://www.trulia.com/p/ct/bridgeport/365-platt-st-bridgeport-ct-06606--2005434166
407 Benham Ave Hollow  Bridgeport  CT,2 652 sqft,$369000,1822,,,https://www.trulia.com/p/ct/bridgeport/407-benham-ave-bridgeport-ct-06604--2005417611
407 Benham Ave Hollow  Bridgeport  CT,2 652 sqft,$369000,1822,,,https://www.trulia.com/p/ct/bridgeport/407-benham-ave-bridgeport-ct-06604--2005417611
243 Garfield Ave Brooklawn/ St. Vincent's  Bridgeport  CT,2 240 sqft,$369500,1824,,,https://www.trulia.com/p/ct/bridgeport/243-garfield-ave-bridgeport-ct-06606--1062355460
577 Birmingham St North End  Bridgeport  CT,1 480 sqft,$369900,1826,,,https://www.trulia.com/p/ct/bridgeport/577-birmingham-st-bridgeport-ct-06606--2005437312
124 Bronx Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 312 sqft,$369900,1826,,,https://www.trulia.com/p/ct/bridgeport/124-bronx-ave-bridgeport-ct-06606--2005426908
577 Birmingham St North End  Bridgeport  CT,1 480 sqft,$369900,1826,,,https://www.trulia.com/p/ct/bridgeport/577-birmingham-st-bridgeport-ct-06606--2005437312
124 Bronx Ave Brooklawn/ St. Vincent's  Bridgeport  CT,3 312 sqft,$369900,1826,,,https://www.trulia.com/p/ct/bridgeport/124-bronx-ave-bridgeport-ct-06606--2005426908
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2 289 sqft,$269000,1828,,,https://www.trulia.com/p/ct/bridgeport/2675-park-ave-7-bridgeport-ct-06604--2005416321
2675 Park Ave #7 Brooklawn/ St. Vincent's  Bridgeport  CT,2 289 sqft,$269000,1828,,,https://www.trulia.com/p/ct/bridgeport/2675-park-ave-7-bridgeport-ct-06604--2005416321
162 Griffin Ave North End  Bridgeport  CT,1 900 sqft,$370000,1834,,,https://www.trulia.com/p/ct/bridgeport/162-griffin-ave-bridgeport-ct-06606--2005428621
36 Frank St Hollow  Bridgeport  CT,2 902 sqft,$375000,1850,,,https://www.trulia.com/p/ct/bridgeport/36-frank-st-bridgeport-ct-06604--2005417371
36 Frank St Hollow  Bridgeport  CT,2 902 sqft,$375000,1850,,,https://www.trulia.com/p/ct/bridgeport/36-frank-st-bridgeport-ct-06604--2005417371
779 Fairview Ave Brooklawn/ St. Vincent's  Bridgeport  CT,1 441 sqft,$379000,1869,,,https://www.trulia.com/p/ct/bridgeport/779-fairview-ave-bridgeport-ct-06606--2005439126
